Job ID: 3825986
Running on node: hyperion-182.sw.ehu.es
Starting time: Thu Nov 27 22:40:53 CET 2025
GPU assigned: 0
Working directory: /scratch/aitordiez/News2Stock/summaries/pointer_generator
Starting training...
================================================================================
POINTER-GENERATOR NETWORK TRAINING
================================================================================

✓ Using device: cuda

Loading preprocessed data...
✓ Train: 66587 examples
✓ Val: 16647 examples
✓ Vocabulary size: 20000

✓ Created dataloaders (batch_size=16)

================================================================================
INITIALIZING MODEL
================================================================================
✓ Model initialized
✓ Trainable parameters: 12,627,363
✓ Coverage mechanism: Disabled
✓ Optimizer: Adam (lr=0.001)
✓ LR Scheduler: ReduceLROnPlateau (patience=2)

================================================================================
TRAINING
================================================================================
✓ Logging to: /scratch/aitordiez/News2Stock/summaries/pointer_generator/logs/training_20251127_224109.log

Epoch 1/20
----------------------------------------
  Batch 900/4162, Loss: 5.7788, NLL: 5.7788, Coverage: 0.0000
  Batch 910/4162, Loss: 5.9104, NLL: 5.9104, Coverage: 0.0000
  Batch 920/4162, Loss: 5.7430, NLL: 5.7430, Coverage: 0.0000
  Batch 930/4162, Loss: 6.1381, NLL: 6.1381, Coverage: 0.0000
  Batch 940/4162, Loss: 5.8439, NLL: 5.8439, Coverage: 0.0000
  Batch 950/4162, Loss: 5.9938, NLL: 5.9938, Coverage: 0.0000
  Batch 960/4162, Loss: 5.8061, NLL: 5.8061, Coverage: 0.0000
  Batch 970/4162, Loss: 5.9328, NLL: 5.9328, Coverage: 0.0000
  Batch 980/4162, Loss: 6.1107, NLL: 6.1107, Coverage: 0.0000
  Batch 990/4162, Loss: 6.0030, NLL: 6.0030, Coverage: 0.0000
  Batch 1000/4162, Loss: 5.6372, NLL: 5.6372, Coverage: 0.0000
  Batch 1010/4162, Loss: 5.5134, NLL: 5.5134, Coverage: 0.0000
  Batch 1020/4162, Loss: 5.6319, NLL: 5.6319, Coverage: 0.0000
  Batch 1030/4162, Loss: 6.1317, NLL: 6.1317, Coverage: 0.0000
  Batch 1040/4162, Loss: 6.0342, NLL: 6.0342, Coverage: 0.0000
  Batch 1050/4162, Loss: 6.1566, NLL: 6.1566, Coverage: 0.0000
  Batch 1060/4162, Loss: 5.5562, NLL: 5.5562, Coverage: 0.0000
  Batch 1070/4162, Loss: 5.9501, NLL: 5.9501, Coverage: 0.0000
  Batch 1080/4162, Loss: 5.9115, NLL: 5.9115, Coverage: 0.0000
  Batch 1090/4162, Loss: 5.6965, NLL: 5.6965, Coverage: 0.0000
  Batch 1100/4162, Loss: 5.9310, NLL: 5.9310, Coverage: 0.0000
  Batch 1110/4162, Loss: 6.1948, NLL: 6.1948, Coverage: 0.0000
  Batch 1120/4162, Loss: 5.8007, NLL: 5.8007, Coverage: 0.0000
  Batch 1130/4162, Loss: 5.6923, NLL: 5.6923, Coverage: 0.0000
