Job ID: 3825040
Running on node: hyperion-118.sw.ehu.es
Starting time: Thu Nov 27 19:48:26 CET 2025
GPU assigned: 0
Working directory: /scratch/aitordiez/News2Stock/summaries/simple_seq2seq_fasttext
Starting training...
================================================================================
SIMPLE SEQ2SEQ TRAINING
================================================================================

✓ Using device: cuda

Loading preprocessed data...
✓ Train: 66587 examples
✓ Val: 16647 examples
✓ Vocabulary size: 20000

✓ Created dataloaders (batch_size=8)

================================================================================
INITIALIZING MODEL
================================================================================

Initializing embeddings with FastText...
Loading FastText model from /scratch/aitordiez/News2Stock/models/cc.en.300.bin...
✓ FastText model loaded
Initializing embeddings with FastText vectors...
Initialized 19999/20000 embeddings with FastText vectors
Loading FastText model from /scratch/aitordiez/News2Stock/models/cc.en.300.bin...
✓ FastText model loaded
Initializing embeddings with FastText vectors...
Initialized 19999/20000 embeddings with FastText vectors
✓ FastText embeddings loaded
✓ Model initialized
✓ Trainable parameters: 36,078,240
✓ Optimizer: Adam (lr=0.001)
✓ Loss: CrossEntropyLoss

================================================================================
TRAINING
================================================================================
✓ Logging to: /scratch/aitordiez/News2Stock/summaries/simple_seq2seq_fasttext/logs/training_20251127_194906.log

Epoch 1/20
----------------------------------------
  Batch 1870/8324, Loss: 4.9813
  Batch 1880/8324, Loss: 5.5886
  Batch 1890/8324, Loss: 5.5288
  Batch 1900/8324, Loss: 5.8898
  Batch 1910/8324, Loss: 5.6487
  Batch 1920/8324, Loss: 5.5072
  Batch 1930/8324, Loss: 5.8237
  Batch 1940/8324, Loss: 5.8383
  Batch 1950/8324, Loss: 6.0380
  Batch 1960/8324, Loss: 5.5130
  Batch 1970/8324, Loss: 5.3944
  Batch 1980/8324, Loss: 5.4957
  Batch 1990/8324, Loss: 5.8977
  Batch 2000/8324, Loss: 5.9129
  Batch 2010/8324, Loss: 5.8301
  Batch 2020/8324, Loss: 5.1118
  Batch 2030/8324, Loss: 5.4365
  Batch 2040/8324, Loss: 5.6889
  Batch 2050/8324, Loss: 5.4100
  Batch 2060/8324, Loss: 5.8414
  Batch 2070/8324, Loss: 5.9252
  Batch 2080/8324, Loss: 6.0634
  Batch 2090/8324, Loss: 5.4615
  Batch 2100/8324, Loss: 5.9165
  Batch 2110/8324, Loss: 5.7741
  Batch 2120/8324, Loss: 4.8071
  Batch 2130/8324, Loss: 5.3566
  Batch 2140/8324, Loss: 4.9141
  Batch 2150/8324, Loss: 6.3433
  Batch 2160/8324, Loss: 5.9616
  Batch 2170/8324, Loss: 5.5566
  Batch 2180/8324, Loss: 5.4563
  Batch 2190/8324, Loss: 5.8731
  Batch 2200/8324, Loss: 5.4295
  Batch 2210/8324, Loss: 5.9797
  Batch 2220/8324, Loss: 5.6330
  Batch 2230/8324, Loss: 5.7591
  Batch 2240/8324, Loss: 5.2937
  Batch 2250/8324, Loss: 5.0412
  Batch 2260/8324, Loss: 5.4560
  Batch 2270/8324, Loss: 5.3891
  Batch 2280/8324, Loss: 5.3701
  Batch 2290/8324, Loss: 5.5510
  Batch 2300/8324, Loss: 5.5976
  Batch 2310/8324, Loss: 5.4038
  Batch 2320/8324, Loss: 5.4638
  Batch 2330/8324, Loss: 5.6159
  Batch 2340/8324, Loss: 5.9366
  Batch 2350/8324, Loss: 5.2834
  Batch 2360/8324, Loss: 5.4740
  Batch 2370/8324, Loss: 5.8896
  Batch 2380/8324, Loss: 5.8008
  Batch 2390/8324, Loss: 5.8225
  Batch 2400/8324, Loss: 5.9695
  Batch 2410/8324, Loss: 5.5021
  Batch 2420/8324, Loss: 5.6710
  Batch 2430/8324, Loss: 5.6007
  Batch 2440/8324, Loss: 5.7660
  Batch 2450/8324, Loss: 5.3330
  Batch 2460/8324, Loss: 5.8917
  Batch 2470/8324, Loss: 5.7559
  Batch 2480/8324, Loss: 6.1000
  Batch 2490/8324, Loss: 5.6642
  Batch 2500/8324, Loss: 5.6268
  Batch 2510/8324, Loss: 5.4996
  Batch 2520/8324, Loss: 5.2975
  Batch 2530/8324, Loss: 5.5780
  Batch 2540/8324, Loss: 5.3903
  Batch 2550/8324, Loss: 5.1407
  Batch 2560/8324, Loss: 5.5387
  Batch 2570/8324, Loss: 5.3461
  Batch 2580/8324, Loss: 6.0661
  Batch 2590/8324, Loss: 5.1656
  Batch 2600/8324, Loss: 5.5520
  Batch 2610/8324, Loss: 5.3811
  Batch 2620/8324, Loss: 5.8501
  Batch 2630/8324, Loss: 5.4570
  Batch 2640/8324, Loss: 5.3798
  Batch 2650/8324, Loss: 5.7017
  Batch 2660/8324, Loss: 5.7733
  Batch 2670/8324, Loss: 5.7438
  Batch 2680/8324, Loss: 5.5455
  Batch 2690/8324, Loss: 5.4596
  Batch 2700/8324, Loss: 5.2132
  Batch 2710/8324, Loss: 5.6096
  Batch 2720/8324, Loss: 5.3793
  Batch 2730/8324, Loss: 5.8302
  Batch 2740/8324, Loss: 5.5283
  Batch 2750/8324, Loss: 5.2937
  Batch 2760/8324, Loss: 5.8499
  Batch 2770/8324, Loss: 5.7835
  Batch 2780/8324, Loss: 5.4577
  Batch 2790/8324, Loss: 5.7177
  Batch 2800/8324, Loss: 5.8692
  Batch 2810/8324, Loss: 5.3534
  Batch 2820/8324, Loss: 5.3461
  Batch 2830/8324, Loss: 5.3709
  Batch 2840/8324, Loss: 5.1824
  Batch 2850/8324, Loss: 5.5858
  Batch 2860/8324, Loss: 5.3536
  Batch 2870/8324, Loss: 5.5307
  Batch 2880/8324, Loss: 5.1724
  Batch 2890/8324, Loss: 5.5768
  Batch 2900/8324, Loss: 5.5385
  Batch 2910/8324, Loss: 5.4338
  Batch 2920/8324, Loss: 5.1262
  Batch 2930/8324, Loss: 5.4078
  Batch 2940/8324, Loss: 5.8002
  Batch 2950/8324, Loss: 5.4830
  Batch 2960/8324, Loss: 5.5917
  Batch 2970/8324, Loss: 5.6875
  Batch 2980/8324, Loss: 5.4849
  Batch 2990/8324, Loss: 5.4196
  Batch 3000/8324, Loss: 5.9167
  Batch 3010/8324, Loss: 5.0901
  Batch 3020/8324, Loss: 5.8049
  Batch 3030/8324, Loss: 5.6868
  Batch 3040/8324, Loss: 5.8341
  Batch 3050/8324, Loss: 5.5496
  Batch 3060/8324, Loss: 5.8065
  Batch 3070/8324, Loss: 5.5602
  Batch 3080/8324, Loss: 5.3565
  Batch 3090/8324, Loss: 5.3010
  Batch 3100/8324, Loss: 6.2770
  Batch 3110/8324, Loss: 5.4907
  Batch 3120/8324, Loss: 5.2413
  Batch 3130/8324, Loss: 5.5047
  Batch 3140/8324, Loss: 5.3608
  Batch 3150/8324, Loss: 4.2031
  Batch 3160/8324, Loss: 5.5057
  Batch 3170/8324, Loss: 6.0057
  Batch 3180/8324, Loss: 5.6689
  Batch 3190/8324, Loss: 5.7858
  Batch 3200/8324, Loss: 6.0026
  Batch 3210/8324, Loss: 6.1240
  Batch 3220/8324, Loss: 5.6758
