Job ID: 3824997
Running on node: hyperion-096.sw.ehu.es
Starting time: Thu Nov 27 17:29:41 CET 2025
GPU assigned: 0
Working directory: /scratch/aitordiez/News2Stock/summaries/simple_seq2seq
Starting training...
================================================================================
SIMPLE SEQ2SEQ TRAINING
================================================================================

✓ Using device: cuda

Loading preprocessed data...
✓ Train: 66587 examples
✓ Val: 16647 examples
✓ Vocabulary size: 20000

✓ Created dataloaders (batch_size=8)

================================================================================
INITIALIZING MODEL
================================================================================
✓ Model initialized
✓ Trainable parameters: 25,229,856
✓ Optimizer: Adam (lr=0.001)
✓ Loss: CrossEntropyLoss

================================================================================
TRAINING
================================================================================
✓ Logging to: /scratch/aitordiez/News2Stock/summaries/simple_seq2seq/logs/training_20251127_173002.log

Epoch 1/20
----------------------------------------
  Batch 1990/8324, Loss: 5.6854
  Batch 2000/8324, Loss: 6.1288
  Batch 2010/8324, Loss: 5.6894
  Batch 2020/8324, Loss: 5.5791
  Batch 2030/8324, Loss: 6.1493
  Batch 2040/8324, Loss: 6.0214
  Batch 2050/8324, Loss: 5.9663
  Batch 2060/8324, Loss: 5.2555
  Batch 2070/8324, Loss: 6.0550
  Batch 2080/8324, Loss: 6.4230
  Batch 2090/8324, Loss: 5.9213
  Batch 2100/8324, Loss: 5.8042
  Batch 2110/8324, Loss: 6.0213
  Batch 2120/8324, Loss: 5.8660
  Batch 2130/8324, Loss: 5.7273
  Batch 2140/8324, Loss: 5.9525
  Batch 2150/8324, Loss: 6.0825
  Batch 2160/8324, Loss: 6.0749
  Batch 2170/8324, Loss: 6.2655
  Batch 2180/8324, Loss: 6.1333
  Batch 2190/8324, Loss: 5.9906
  Batch 2200/8324, Loss: 5.9777
  Batch 2210/8324, Loss: 5.9244
  Batch 2220/8324, Loss: 6.1111
  Batch 2230/8324, Loss: 5.8214
  Batch 2240/8324, Loss: 5.4452
  Batch 2250/8324, Loss: 5.8551
  Batch 2260/8324, Loss: 5.9994
  Batch 2270/8324, Loss: 5.9499
  Batch 2280/8324, Loss: 6.1482
  Batch 2290/8324, Loss: 5.7196
  Batch 2300/8324, Loss: 6.1507
  Batch 2310/8324, Loss: 5.9090
  Batch 2320/8324, Loss: 5.9059
  Batch 2330/8324, Loss: 5.5206
  Batch 2340/8324, Loss: 6.0195
  Batch 2350/8324, Loss: 5.7234
  Batch 2360/8324, Loss: 5.7856
  Batch 2370/8324, Loss: 5.3424
  Batch 2380/8324, Loss: 6.2354
  Batch 2390/8324, Loss: 5.7548
  Batch 2400/8324, Loss: 5.8558
  Batch 2410/8324, Loss: 5.3203
  Batch 2420/8324, Loss: 6.0190
  Batch 2430/8324, Loss: 5.8284
  Batch 2440/8324, Loss: 5.8861
  Batch 2450/8324, Loss: 5.1338
  Batch 2460/8324, Loss: 6.4357
  Batch 2470/8324, Loss: 5.7845
  Batch 2480/8324, Loss: 6.0875
  Batch 2490/8324, Loss: 6.0426
  Batch 2500/8324, Loss: 6.1171
  Batch 2510/8324, Loss: 5.5222
  Batch 2520/8324, Loss: 5.9424
